"contacts","social","laws","citizenship","workpermit","employment","attitude","reputation","destination","candidate","id","gender","age","children","educ","prewar","satisfaction","migmotivation","miglikely","prefchar","prefcountry","incentivised","t_choice"
"Friends","Free housing","Ban on nikab and burka in public","After 8 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Welcoming to foreigners",0,1,232,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",NA,NA,NA,"Education opportunities","Canada","0","95.356"
"Other Syrians","Free housing","Ban on nikab and burka in public","After 8 years","After 3 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",0,1,233,"Male","18 - 29","Yes","High school graduate (Baccalaureate / Tawjihi)","0",2,1,4,"Good reputation","Other / Prefer not to answer","0","112.947"
"No contacts","No minimum wage","Ban on immigration from Muslim countries","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Good country for Syrians",1,1,236,"Female","18 - 29","No","Some college but no degree","0",4,1,3,"Education opportunities","Canada","0","53.874"
"No contacts","Free healthcare","Ban on hijab in schools","After 8 years","Immediately","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",0,1,237,"Male","30-39","Yes","Diploma or technical certificate (2-year)","0",4,3,6,"Employment / career opportunities","UK","0","36.489"
"Family","Free housing","Ban on nikab and burka in public","After 5 years","After 3 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,1,238,"Female","30-39","Yes","Less than high school degree","0",7,3,5,"Social benefits and healthcare","Germany","0","22.021"
"No contacts","Free housing","Ban on immigration from Muslim countries","After 8 years","Immediately","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Good country for Syrians",1,1,239,"Male","18 - 29","Yes","Some college but no degree","0",5,1,2,"Employment / career opportunities","UK","0","21.1"
"Friends","No minimum wage","No religious bans","After 5 years","Immediately","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Has many well-known brands",1,1,240,"Male","30-39","Yes","Diploma or technical certificate (2-year)","0",2,1,5,"Social benefits and healthcare","Canada","0","19.27"
"Family","Free healthcare","No religious bans","After 5 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Has many well-known brands",1,1,241,"Male","18 - 29","No","Some college but no degree","1",6,3,4,"Education opportunities","USA","0","162.707"
"Friends","Generous support for refugees","Ban on hijab in schools","After 3 years","After 12 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",0,1,242,"Male","40-49","Yes","Diploma or technical certificate (2-year)","1",4,1,NA,"Citizenship and rights","UK","0","55.174"
"Family","Generous support for refugees","Ban on nikab and burka in public","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Welcoming to foreigners",1,1,243,"Male","18 - 29","No","Less than high school degree",NA,2,1,2,"Education opportunities","Canada","0","109.097"
"Family","Free housing","Ban on hijab in schools","After 3 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",1,1,244,"Male","40-49","Yes","Less than high school degree","0",5,4,6,"Social benefits and healthcare","Canada","0","39.511"
"Family","Free healthcare","Ban on hijab in schools","After 5 years","After 3 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",1,1,245,"Male","18 - 29","No","Some college but no degree","0",7,4,6,"Employment / career opportunities","Canada","0","22.061"
"Friends","Free housing","Ban on hijab in schools","After 3 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",0,1,248,"Male","30-39","Yes","Less than high school degree","0",2,1,4,"Citizenship and rights","UK","0","58.365"
"No contacts","Free healthcare","Ban on immigration from Muslim countries","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",0,1,252,"Male","18 - 29","Yes","Less than high school degree","0",8,3,2,"Citizenship and rights","Canada","0","41.127"
"Other Syrians","No minimum wage","Ban on hijab in schools","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Welcoming to foreigners",0,1,256,"Male","18 - 29","No","Some college but no degree","1",6,1,4,"Asylum policies (e.g. family reunification, resettlement)","Canada","0","69.162"
"Other Syrians","Free healthcare","Ban on nikab and burka in public","After 5 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",1,1,257,"Male","18 - 29","No","Bachelor's degree (4-year)","0",4,4,5,"Employment / career opportunities","UK","0","25.424"
"Other Syrians","Free housing","Ban on hijab in schools","After 5 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Welcoming to foreigners",0,1,259,"Male","18 - 29","Yes","Diploma or technical certificate (2-year)","0",2,1,2,"Citizenship and rights","Germany","0","11.991"
"Friends","Free housing","Ban on nikab and burka in public","After 8 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",0,1,262,"Female","18 - 29","No","Some college but no degree","0",4,1,NA,"Citizenship and rights","UK","0","10.233"
"No contacts","Generous support for refugees","Ban on immigration from Muslim countries","After 3 years","After 3 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",1,1,263,"Male","18 - 29","No","Less than high school degree","0",7,1,4,"Employment / career opportunities","Canada","0","22.742"
"Family","Free housing","No religious bans","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",1,1,266,"Male","18 - 29","Yes","Diploma or technical certificate (2-year)","0",4,1,3,"Citizenship and rights","Canada","0","236.412"
"No contacts","Free housing","No religious bans","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,1,267,"Male","30-39","Yes","Bachelor's degree (4-year)","0",5,1,NA,"Social benefits and healthcare","Germany","0","181.24"
"No contacts","Free healthcare","Ban on nikab and burka in public","After 8 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",1,1,273,"Male","40-49","Yes","Less than high school degree","0",7,1,NA,"Education opportunities","Canada","0","14.498"
"Friends","Free housing","Ban on immigration from Muslim countries","After 3 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",0,1,275,"Male","18 - 29","No","Bachelor's degree (4-year)","0",7,4,5,"Employment / career opportunities","Canada","0","41.217"
"No contacts","No minimum wage","Ban on hijab in schools","After 8 years","Immediately","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Good country for Syrians",0,1,276,"Female","30-39","Prefer not to answer","Bachelor's degree (4-year)","0",2,1,5,"Employment / career opportunities","Germany","0","26.035"
"Other Syrians","Generous support for refugees","No religious bans","After 5 years","Immediately","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Has many well-known brands",1,1,277,"Male","18 - 29","No","Bachelor's degree (4-year)","0",7,1,5,"Citizenship and rights","Germany","0","17.091"
"Other Syrians","Generous support for refugees","No religious bans","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",1,1,278,"Male","18 - 29","No","Bachelor's degree (4-year)","0",2,1,4,"Citizenship and rights","Other / Prefer not to answer","0","39.928"
"No contacts","Free housing","Ban on nikab and burka in public","After 3 years","After 3 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Good country for Syrians",0,1,280,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",2,1,3,"Language and culture","Canada","0","10.027"
"Other Syrians","Generous support for refugees","Ban on hijab in schools","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",1,1,281,"Male","30-39","No","Bachelor's degree (4-year)","0",2,1,6,"Citizenship and rights","UK","0","336.379"
"Family","Free healthcare","No religious bans","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",1,1,282,"Male","30-39","Yes","Less than high school degree","1",2,1,5,"Asylum policies (e.g. family reunification, resettlement)","USA","0","149.811"
"Friends","Generous support for refugees","No religious bans","After 5 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Welcoming to foreigners",1,1,284,"Female","18 - 29","No","Some college but no degree","1",4,1,3,"Employment / career opportunities","UK","0","144.825"
"No contacts","Free healthcare","Ban on nikab and burka in public","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Welcoming to foreigners",1,1,285,"Female","18 - 29","No","Diploma or technical certificate (2-year)","0",4,3,5,"Asylum policies (e.g. family reunification, resettlement)","Canada","0","94.957"
