"contacts","social","laws","citizenship","workpermit","employment","attitude","country","destination","candidate","c.same","id","gender","age","children","educ","prewar","satisfaction","migmotivation","miglikely","prefchar","prefcountry","incentivised","t_choice"
"Family","Free housing","Ban on hijab in schools","After 5 years","After 3 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Canada",0,1,1,182,"Male","18 - 29","Yes","Bachelor's degree (4-year)","1",4,1,NA,"Employment / career opportunities","UK","0","41.225"
"Family","Free healthcare","Ban on nikab and burka in public","After 3 years","After 3 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","France",0,1,1,187,"Male","18 - 29","No","Bachelor's degree (4-year)","0",4,1,3,"Citizenship and rights","USA","0","34.736"
"No contacts","No minimum wage","Ban on nikab and burka in public","After 8 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Canada",0,1,1,189,"Male","18 - 29","No","Some college but no degree","0",2,3,3,"Employment / career opportunities","UK","0","22.442"
"Friends","No minimum wage","No religious bans","After 3 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",0,1,0,190,"Male","30-39","Yes",NA,"0",2,1,2,"Citizenship and rights","USA","0","17.666"
"Family","Generous support for refugees","Ban on hijab in schools","After 3 years","After 12 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","France",1,1,0,191,"Male","18 - 29","Yes","Less than high school degree","0",7,1,2,"Asylum policies (e.g. family reunification, resettlement)","Germany","0","31.979"
"Friends","No minimum wage","Ban on immigration from Muslim countries","After 8 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","France",0,1,0,193,"Male","50-59","No","Less than high school degree","1",7,3,4,"Social benefits and healthcare","UK","0","15.342"
"Friends","Free housing","Ban on hijab in schools","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","France",0,1,0,195,"Male","18 - 29","Yes","High school graduate (Baccalaureate / Tawjihi)","0",7,3,5,"Citizenship and rights","UK","0","25.537"
"Family","Free housing","Ban on hijab in schools","After 3 years","After 3 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",0,1,0,196,"Male","30-39","Yes","Less than high school degree","0",7,1,4,"Education opportunities","USA","0","68.964"
"Other Syrians","Generous support for refugees","No religious bans","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Canada",1,1,0,197,"Female","40-49","Yes","Less than high school degree",NA,6,1,6,"Good reputation","USA","0","24.256"
"Friends","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Canada",0,1,0,198,"Male","40-49","Yes","Less than high school degree","0",7,3,4,"Employment / career opportunities","USA","0","24.989"
"Family","Generous support for refugees","Ban on hijab in schools","After 5 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United States of America (USA)",0,1,1,200,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",7,1,5,"Language and culture","Canada","0","12.61"
"Family","Generous support for refugees","Ban on hijab in schools","After 8 years","After 12 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","United States of America (USA)",0,1,0,202,"Male","30-39","Yes","Diploma or technical certificate (2-year)","0",2,1,NA,"Asylum policies (e.g. family reunification, resettlement)","USA","0","37.987"
"Friends","No minimum wage","Ban on immigration from Muslim countries","After 3 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","France",0,1,1,203,"Male","50-59","Yes","Some college but no degree","1",5,3,5,"Citizenship and rights","UK","0","32.985"
"Friends","No minimum wage","Ban on hijab in schools","After 5 years","After 3 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Germany",0,1,0,205,"Male","50-59","Yes","Some college but no degree","1",5,3,5,"Citizenship and rights","UK","0","21.398"
"No contacts","Generous support for refugees","No religious bans","After 5 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Germany",0,1,0,207,"Male","18 - 29","No","Less than high school degree","0",4,4,6,"Employment / career opportunities","UK","0","50.985"
"No contacts","Free housing","No religious bans","After 3 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",1,1,0,208,"Male","18 - 29","No","Less than high school degree","0",2,1,2,"Friends / family / relatives in the country","Canada","0","57.252"
"Friends","Generous support for refugees","Ban on nikab and burka in public","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","France",1,1,0,209,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",NA,3,3,"Employment / career opportunities","Canada","0","43.568"
"Other Syrians","Generous support for refugees","Ban on nikab and burka in public","After 8 years","Immediately","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Canada",1,1,1,210,"Female","18 - 29","No","Diploma or technical certificate (2-year)","1",8,1,3,"Social benefits and healthcare","Canada","0","19.884"
"Family","No minimum wage","Ban on hijab in schools","After 5 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Canada",1,1,0,213,"Female","30-39","Yes","Less than high school degree","1",7,3,6,"Citizenship and rights","USA","0","72.502"
"No contacts","Generous support for refugees","Ban on nikab and burka in public","After 8 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","France",0,1,0,215,"Male","18 - 29","No","Less than high school degree","0",7,1,4,"Language and culture","Canada","0","23.127"
"No contacts","Free housing","Ban on nikab and burka in public","After 3 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Canada",1,1,0,216,"Female","40-49","Yes","Bachelor's degree (4-year)","0",6,6,3,"Don't know / Prefer not to answer","Other / Prefer not to answer","0","233.432"
"No contacts","Free healthcare","Ban on hijab in schools","After 5 years","Immediately","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Germany",1,1,0,217,"Female","30-39","No","Diploma or technical certificate (2-year)","0",2,1,5,"Asylum policies (e.g. family reunification, resettlement)","Canada","0","101.596"
"Other Syrians","No minimum wage","Ban on hijab in schools","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","France",1,1,1,218,"Male","18 - 29","Yes","Less than high school degree","0",2,3,3,"Education opportunities","Canada","0","64.491"
"No contacts","Free healthcare","Ban on nikab and burka in public","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Canada",1,1,0,219,"Male","18 - 29","No","Some college but no degree","0",8,1,4,"Asylum policies (e.g. family reunification, resettlement)","UK","0","86.655"
"No contacts","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","After 3 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","France",0,1,0,221,"Male","18 - 29","Yes","Less than high school degree","0",8,3,4,"Employment / career opportunities","Canada","0","123.04"
"Other Syrians","No minimum wage","Ban on hijab in schools","After 3 years","Immediately","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","United States of America (USA)",1,1,0,222,"Male","30-39","Yes","Diploma or technical certificate (2-year)","0",6,3,3,"Employment / career opportunities","Canada","0","79.566"
"Family","No minimum wage","Ban on nikab and burka in public","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Canada",0,1,0,223,"Male","18 - 29","No","Less than high school degree","0",8,3,6,"Citizenship and rights","UK","0","52.678"
"Other Syrians","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","After 3 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Canada",1,1,1,224,"Male","18 - 29","Yes","Bachelor's degree (4-year)","1",2,1,6,"Citizenship and rights","Canada","0","40.816"
"No contacts","Generous support for refugees","Ban on hijab in schools","After 3 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",1,1,0,226,"Male","30-39","Yes","High school graduate (Baccalaureate / Tawjihi)","1",2,1,3,"Language and culture","Canada","0","73.849"
"Other Syrians","Free housing","No religious bans","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Canada",1,1,0,227,"Male","40-49","Yes","High school graduate (Baccalaureate / Tawjihi)","0",5,1,6,"Citizenship and rights","USA","0","34.28"
"No contacts","Generous support for refugees","Ban on nikab and burka in public","After 8 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Canada",1,1,0,228,"Male","18 - 29","No","Some college but no degree","0",5,4,3,"Employment / career opportunities","Germany","0","35.689"
"Other Syrians","Generous support for refugees","Ban on immigration from Muslim countries","After 8 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","France",1,1,0,229,"Male","30-39","Yes","High school graduate (Baccalaureate / Tawjihi)","1",2,1,3,"Language and culture","Canada","0","33.201"
"Friends","Free housing","Ban on hijab in schools","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",1,1,0,230,"Male","30-39","Yes","Less than high school degree","0",6,3,4,"Citizenship and rights","Canada","0","22.239"
